time_s,h_m,v_vert_mps,v_horiz_mps,E_total_J,E_drift_rel
15.42000000,1881.70675800,151.27020000,0.00000000,29900.88000000,0.00000000
15.45000000,1877.16423750,151.56450000,0.00000000,29900.88000000,0.00000000
15.48000000,1872.61288800,151.85880000,0.00000000,29900.88000000,0.00000000
15.51000000,1868.05270950,152.15310000,0.00000000,29900.88000000,0.00000000
15.54000000,1863.48370200,152.44740000,0.00000000,29900.88000000,0.00000000
15.57000000,1858.90586550,152.74170000,0.00000000,29900.88000000,0.00000000
15.60000000,1854.31920000,153.03600000,0.00000000,29900.88000000,0.00000000
15.63000000,1849.72370550,153.33030000,0.00000000,29900.88000000,0.00000000
15.66000000,1845.11938200,153.62460000,0.00000000,29900.88000000,0.00000000
15.69000000,1840.50622950,153.91890000,0.00000000,29900.88000000,0.00000000
15.72000000,1835.88424800,154.21320000,0.00000000,29900.88000000,0.00000000
15.75000000,1831.25343750,154.50750000,0.00000000,29900.88000000,0.00000000
15.78000000,1826.61379800,154.80180000,0.00000000,29900.88000000,0.00000000
15.81000000,1821.96532950,155.09610000,0.00000000,29900.88000000,0.00000000
15.84000000,1817.30803200,155.39040000,0.00000000,29900.88000000,0.00000000
15.87000000,1812.64190550,155.68470000,0.00000000,29900.88000000,0.00000000
15.90000000,1807.96695000,155.97900000,0.00000000,29900.88000000,0.00000000
15.93000000,1803.28316550,156.27330000,0.00000000,29900.88000000,0.00000000
15.96000000,1798.59055200,156.56760000,0.00000000,29900.88000000,0.00000000
15.99000000,1793.88910950,156.86190000,0.00000000,29900.88000000,0.00000000
16.02000000,1789.17883800,157.15620000,0.00000000,29900.88000000,0.00000000
16.05000000,1784.45973750,157.45050000,0.00000000,29900.88000000,0.00000000
16.08000000,1779.73180800,157.74480000,0.00000000,29900.88000000,0.00000000
16.11000000,1774.99504950,158.03910000,0.00000000,29900.88000000,0.00000000
16.14000000,1770.24946200,158.33340000,0.00000000,29900.88000000,0.00000000
16.17000000,1765.49504550,158.62770000,0.00000000,29900.88000000,0.00000000
16.20000000,1760.73180000,158.92200000,0.00000000,29900.88000000,0.00000000
16.23000000,1755.95972550,159.21630000,0.00000000,29900.88000000,0.00000000
16.26000000,1751.17882200,159.51060000,0.00000000,29900.88000000,0.00000000
16.29000000,1746.38908950,159.80490000,0.00000000,29900.88000000,0.00000000
16.32000000,1741.59052800,160.09920000,0.00000000,29900.88000000,0.00000000
16.35000000,1736.78313750,160.39350000,0.00000000,29900.88000000,0.00000000
16.38000000,1731.96691800,160.68780000,0.00000000,29900.88000000,0.00000000
16.41000000,1727.14186950,160.98210000,0.00000000,29900.88000000,0.00000000
16.44000000,1722.30799200,161.27640000,0.00000000,29900.88000000,0.00000000
16.47000000,1717.46528550,161.57070000,0.00000000,29900.88000000,0.00000000
16.50000000,1712.61375000,161.86500000,0.00000000,29900.88000000,0.00000000
16.53000000,1707.75338550,162.15930000,0.00000000,29900.88000000,0.00000000
16.56000000,1702.88419200,162.45360000,0.00000000,29900.88000000,0.00000000
16.59000000,1698.00616950,162.74790000,0.00000000,29900.88000000,0.00000000
16.62000000,1693.11931800,163.04220000,0.00000000,29900.88000000,0.00000000
16.65000000,1688.22363750,163.33650000,0.00000000,29900.88000000,0.00000000
16.68000000,1683.31912800,163.63080000,0.00000000,29900.88000000,0.00000000
16.71000000,1678.40578950,163.92510000,0.00000000,29900.88000000,0.00000000
16.74000000,1673.48362200,164.21940000,0.00000000,29900.88000000,0.00000000
16.77000000,1668.55262550,164.51370000,0.00000000,29900.88000000,0.00000000
16.80000000,1663.61280000,164.80800000,0.00000000,29900.88000000,0.00000000
16.83000000,1658.66414550,165.10230000,0.00000000,29900.88000000,0.00000000
16.86000000,1653.70666200,165.39660000,0.00000000,29900.88000000,0.00000000
16.89000000,1648.74034950,165.69090000,0.00000000,29900.88000000,0.00000000
16.92000000,1643.76520800,165.98520000,0.00000000,29900.88000000,0.00000000
16.95000000,1638.78123750,166.27950000,0.00000000,29900.88000000,0.00000000
