u_mps,v_mps,w_mps,p_rps,q_rps,r_rps,phi_rad,theta_rad,psi_rad,x_e,y_e,z_e
178.9194713172,-0.0000000000,17.3055903286,0.0000000000,-0.0001593506,0.0000000000,0.9985897046,-0.0000000000,0.0530905062,0.0000000000,460.4605459280,0.0000000000,-9004.5760785507
178.9176146448,-0.0000000000,17.3054075586,0.0000000000,-0.0001604278,0.0000000000,0.9985897895,-0.0000000000,0.0530889096,0.0000000000,464.0554433159,0.0000000000,-9004.6113331166
178.9157589290,-0.0000000000,17.3052259036,0.0000000000,-0.0001614936,0.0000000000,0.9985898749,-0.0000000000,0.0530873022,0.0000000000,467.6503035159,0.0000000000,-9004.6465758357
178.9139041716,-0.0000000000,17.3050453887,0.0000000000,-0.0001625488,0.0000000000,0.9985899610,-0.0000000000,0.0530856843,0.0000000000,471.2451265500,0.0000000000,-9004.6818066113
178.9120503742,-0.0000000000,17.3048660366,0.0000000000,-0.0001635939,0.0000000000,0.9985900475,-0.0000000000,0.0530840559,0.0000000000,474.8399124407,0.0000000000,-9004.7170253469
178.9101975390,-0.0000000000,17.3046878673,0.0000000000,-0.0001646297,0.0000000000,0.9985901346,-0.0000000000,0.0530824171,0.0000000000,478.4346612100,0.0000000000,-9004.7522319462
178.9083456682,-0.0000000000,17.3045108982,0.0000000000,-0.0001656569,0.0000000000,0.9985902223,-0.0000000000,0.0530807680,0.0000000000,482.0293728805,0.0000000000,-9004.7874263135
178.9064947643,-0.0000000000,17.3043351441,0.0000000000,-0.0001666760,0.0000000000,0.9985903105,-0.0000000000,0.0530791086,0.0000000000,485.6240474745,0.0000000000,-9004.8226083532
178.9046448298,-0.0000000000,17.3041606171,0.0000000000,-0.0001676878,0.0000000000,0.9985903992,-0.0000000000,0.0530774392,0.0000000000,489.2186850146,0.0000000000,-9004.8577779698
178.9027958678,-0.0000000000,17.3039873271,0.0000000000,-0.0001686929,0.0000000000,0.9985904885,-0.0000000000,0.0530757596,0.0000000000,492.8132855234,0.0000000000,-9004.8929350687
178.9009478814,-0.0000000000,17.3038152812,0.0000000000,-0.0001696920,0.0000000000,0.9985905783,-0.0000000000,0.0530740701,0.0000000000,496.4078490235,0.0000000000,-9004.9280795550
178.8991008738,-0.0000000000,17.3036444842,0.0000000000,-0.0001706858,0.0000000000,0.9985906686,-0.0000000000,0.0530723706,0.0000000000,500.0023755376,0.0000000000,-9004.9632113345
178.8972548486,-0.0000000000,17.3034749383,0.0000000000,-0.0001716749,0.0000000000,0.9985907595,-0.0000000000,0.0530706612,0.0000000000,503.5968650887,0.0000000000,-9004.9983303133
